text,class
طبيعى جدا ان يحب الزمالكاوية حسام قليل الادب وهيما البلطجى ومرتضى السافل وابراهيم سعيد المتخلف ومدحت عبد الهادى الزبالة وشيكا مشاكل وميدو خناقات اظن عرفتوا يعنى اية زمالك انشر يا نجم,egypt
زي الكلاب اللى ممكن تاكل سمك ويجلها جرب,egypt
بصح ما شاء الله,morocco
بسع مني أداك الكداب,morocco
اوعاك تقول:,egypt
لا قالو لي حطي لوحة ديل لخشب حطي فوقها جوجو كشاط غلاض بش تكون مقادة,morocco
عجبنى التعليق رقم 5///ورقم 16 هى دى الاراء ولا بلاش التعلقين دول لخصو الحكايه,egypt
بنمهيدي إختصاصي الأعصاب,morocco
براوة عليك كلماتك رائعة .,egypt
هاد الحوايج تاع إدارة  ما علاباليش كيفاش يمشو  نقصد هاد لي بروجي,algeria
شنو هو الفرق,morocco
واش توحشتوها,morocco
أي ازوزت أديكا سايي عرسها عندو واحد و عشرين يوم في لوسات نوفمبر كان عرسها,algeria
أها خاطي وحدوخر,algeria
إدمان أدا,algeria
ههههههه ما أتفهك.....!!!!!!!,tunisia
ده كلو ميك اب للجدة ي جدع وايفون  ,egypt
معلم اما ينقص مل كلام الفارغ,tunisia
ديجا شكرا ضحكتني,algeria
حسات من الجزاير.تفووووووووو تفووووو,tunisia
وش قاتلك,algeria
لبيبة إيه,algeria
و ياسر قلة حيا,tunisia
مخيبك وليت يا فريال  مكنتي اقعدا في تونس زي العسل مشيت المصر وليت بصل,tunisia
وحش,tunisia
كون كانت قرايت ف الليل هكدا,morocco
محلاها و صوتها حلو اما نحسها تتفينس اكثر من لازم,tunisia
نحب نقلك راك ممثلة فاشلة ومصابة بجنون العظمة الي يشوفها تحكي يقول هذي ممثلة في هوليود ماخذة الف اوسكار وهي موش معروفة من اصلو,tunisia
بصراحة ياسر رزين حلاوته في الإذاعة وموش وحده يلزم معاه شكون,tunisia
أمين يا معاااااااااااالم ،برافو :-*,tunisia
داك النهار نعيط ليها نضحكها ضحكتني هي,morocco
ملا فضائح,tunisia
واصل ولايهمك,tunisia
الناس كل عمبالها,algeria
ما عجبتنيج الغتي ماصط لصط,tunisia
يديوا في دراهمهم حرام كي ربي ما يغنيهمش ما يتغناوش,algeria
رشيدة رشيدة انا الطاهر ما تقلقيش انا معك,morocco
نتبع في الكلاصة نرﻳقﻴﺰي في الدار نورمالمو بهادو ندي دي بونوت و نجيب كل عام بعامو و نربح نورمال,algeria
"-مصر مافيهاش خبرات في الهندسة و ادارة المشاريع , نستقدم شركات مقاولات عملاقة من الخارج",egypt
يلاه قرا شنو كتبتي ولا هادي هنا,morocco
برافو  واللهي عندك الحق كي كشفته على حقيقته الامن والجيش هم  حماة  الوطن مش الارهاب الي يدافع عليهم بي شراسة  هاذا القاضي وفي النهاية تونس أمانة  بين أيديكم  كونو في مستواء المسؤلية,tunisia
قال له كي ضربتك واش حسيتي,algeria
دابة يمكن هادي سيمانة,morocco
صح تحطها تبيتها ليلة في الكونجيلاتار غدوة تستعملها بصح كي تستعملها ما تروحش ما تروحش خلاه,algeria
إيه ولا الوحدة و نص راهي كل مرة كيفاش,algeria
ملا تهريج وملا مستوي اعلام عار,tunisia
داركم كبيرة آني نزعف,algeria
نسيي,algeria
على بالي عندك كلمة,algeria
اكبر منافق,tunisia
حيت غدي تسوتني بوحدك,morocco
و نا ﻧقﻮل وش الحس أدا,algeria
لي غدي تمشي معها بيه,morocco
دوك قالت له نروحو دوك للمخازن في الليل,algeria
يسال عليك الخير,algeria
هؤلاء الأفاقون عباره عن مجموعه من المرتزقه والمستفيدين من النظام الحالى فحسين مجاور معروف دوره فى الخصخصه وتشريد العمال وأحمد عاطف زوج وزيرة القوى العامله التى لاتجيد إلاّ تقبيل أيادى أسيادها وحتى عبد الرحمن خير عضو مجلس الشورى عن حزب التجمع هاجم الدكتور البرادعى أيضا لأنه أيضا على رأسه بطحه . أى أن جميعهم حريصون على الإبقاء على نسبة العمال والفلاحين لمصالحهم الشخصيه . نعم للتغيير .... ونعم للبرادعى ...... حتى تختفى هذه الوجوه الكريهه .,egypt
وخى غادي نعيط عليها دبا و نعاود نعيط لواحد صاحبتي باش نأكد,morocco
انتي حابة تروحي تكملي ولا لالا سينون  يديرولك تاست,algeria
جهل و انحطاط اخلاقي و لا مبالاة باعراض الناس و بتقاليدنا و القيم و الثوابت التي تربينا عليها كمجتمع اسلامي محافظ لذلك فهي تستغل هذه المواضيع باعتبارها خطوط حمراء لغاية الشهرة و الفرجة لكنها لم تتوقع انقلاب السحر على الساحر.,tunisia
ﺗﻠقاها ﺗﻠقاها,algeria
رقم الدار,morocco
كمال ، فاش ترجع ل نانسي ، واش تقد تسيفط لي ب دعوة ديال سطاج ؟,morocco
أنا فاهم شنو تنقول,morocco
العون الاداري تيخدم بي شهادة البكالورية,morocco
ألو بسمة,morocco
شديت زينو ليوم,morocco
وقتاه حكيتيلي عليه ما شفيتش,algeria
ممكن يبقى المحافظ اللى هوه بيبقى بالانتخاب مش بيختاره رئيس الوزراء ولا الريس,egypt
أنتم أكبر كارثة,tunisia
كانو يعيطولو و ما يهزش,algeria
ما سط مفيه مايتفرج تهريج ومضيعت وقت,tunisia
برافو وليد تونس بلاد رجال ة الاشكال هذيكة خسارة فيهم الجنسية التونسية,tunisia
قال لي كل غام كاين كلاسيكو جديد,morocco
ريم بن مسعود ممثلة كبيرة و قوية برشا و تعجبني ياسر و نحبها و عجبني دورها في فيلم نحبك هادي و نحب نقلها Bravo واصل,tunisia
اسمحوا لي نقدرو نحبسو الهدرة درك,algeria
تاع الفيكس,algeria
درت اه بصح ماما ما بقاش يجي حار,algeria
حكيتو لنهى قالت لي كي تحكيلك الخطرة الجاية سوسن حاجة ما تجيش تحكيهالي,algeria
عرفتوا احنا مشينا حسام وابراهيم ليه,egypt
مالة اهدري ديريكتومون في الحاجة اللي تحبي تهدري عليها,algeria
هى هى طنتصور كريمة ف فلوكة غاديت ل طاليان,morocco
فين مشا صاحبي,morocco
ميقنعش. المشاهد نتمنى. يخرجوه من. البرنامج,tunisia
سهرية عالمية مع الأندلسي ، إنسان شايخ ، واضح و صريح ، احترمك رغم انتمائي للأفريقي . برافو واصل في طريق النجاح و ربي يوفقك خير,tunisia
كاين شي جدير ليوم ف مصر ؟ مشفتش تلفازة ليوم دوزت النهار غير ف النعاس,morocco
في السبيطار تعنا يجوزوا غير بالمعريفة على بالك,algeria
شي حاجة صعيبة ولكن توكلي على لله ربما تلقي وحدخرات,morocco
جمال و أناقة ماشاء الله,tunisia
ونا مريم,algeria
حتا لبارح معيطش بكري ، غدي يجي,morocco
منافق,tunisia
محلاهم بعفويتهم كل واحد فينا يتمنا ولادو يكونو يحبوه ويقبلوهم في اي عمر,tunisia
ايه قلة الذوق دي؟ هو الناس دي بتتدخل ليه في اللي مايخصهاش،والله شكله من أبناء المجرمين الفرنسيين اللي كانوا بيعتبروا الجزائر واحدة من ملحقاتهم وكانوا بيعذبوا الشعب الجزائري,egypt
سارة شحال لابورس تاع الماستار,algeria
كريمة نضن مليحة العفسة تاع لا تردكسيون سور بلاص,algeria
حتى نا دايما في الروتين شفيت على الجمعة لي فاتت عدات حلوة و الجمعة أدي ماسطة خلاه,algeria
انسان عنده نضرة باهية ومواقفه تعجبني,tunisia
المهم ان كلامك سواء كان حلم او كابوس فأكيد مسيرنا نصحى,egypt
بتوفيق وجيهة الجندوبي انت احسن ممثله تونسيه  نتمنولك التوفيق و رنا نحبوك الكل,tunisia
واش بك تعيط يا خويا,algeria
لا مخرجاتش هي عند ختي ف دارها,morocco
قﺪاه تسعميا و خمسين سافا بﺎ,algeria
انا نحبها كوثر بلحاج تعجبني اما في شوفلي حل احسن,tunisia
مام الشات نقدرو كي يكون الوقت نتكونكتاو مام في النهار ، دي فوا تصرالي في العشية نلقى وقت,algeria
وهذي كمان كل مالها تحلى أكثر أكثر  ,egypt
درت فيهم ﺗﭙﻲ أومبعد خرجت,algeria
سبعة,morocco
هداك ماراهوش سلالة أصيلة كيما نقولو راه هجين تاع زوج سلالات,algeria
حلقة ممتازة,tunisia
من أحسن الممثلين التوانسة إلي يعجبوني نحب نقلو    برافو برافو برافو,tunisia
على بالك أ سارة يطيبو كيفنا,algeria
من أفضل ممثلات تونس,tunisia
لالا نشوفه,algeria
منور حسين مرحبا بيك في تونس انشاء الله نشفوك في المهرجانات الصيف هذا.,tunisia
وعشان اكون شويه حقانيه ما انكر ان في ١٪ من العيال ينبلعون احيانا  والباقي زي الشوكه في البلعوم اللهم ياكافي ,egypt
و زيدك بجوج في دولة وحدة تزور مرسيي و من تما تزوري باريس,morocco
اول مرة أقرأ موضوع جميع القراء متفقين على التعليق بالإضافة إلى روح الدعابة سواء من الكاتب او القراء وقبل ان انسى ا لم نرى اى متطفل من الملقبين بمصر ى أو مصراوى او إبن النيل أورامى او السكرى أو نص .... وافتخر,egypt
إيه والله قالولي شهر أقسم بالله مشكلة,algeria
من واش نكره ما فهمتش من الفواياج ولا من الشات,algeria
كاين دي رومارك بصح ما زال ما كتبتهم كي نكتبهم نبعتهم لك ادا حبيت,algeria
كمال راهو يتكونيكتا باش يشوف ادا رانا مجتهدين,algeria
و جابتلو هي وحدة,algeria
هو من برة لحاس و من داخل من داخل كيفها,tunisia
أحكمي الوقت من الادان تاع العشاء حتى الادان تاع الصبح و اقسميه على تلاثة تخرجلك,algeria
بناكل فى عزك لحم,egypt
شئ  يأسف,tunisia
خليك من لافاك فيها مشاكل ياسر,algeria
انت تطول تقعد مع الإخوان ياسى رمزى العجيب إتك بنهدد بالإستقاله هو فيه حد عارفك ياعم والله لو حطو صورتك فى الشارع بتاعكم ماحد ها يعرفك يا عم الزعيم,egypt
تبركالله عليك جعفور قداش تعمل جو وتخلي القعدة حلوى,tunisia
ياريت يكون فى خطة الوزير مراعاة ذوى الاحتيجات الخاصة اللى اهلهم عملين معاهم شغل,egypt
تنسا لمودباس لي حطيت و وخى هي نفسها تنعاوذها ف كل بلاصة,morocco
آني ﻧقﻌﺪ عاقلة ما نعرف حتى واحد,algeria
قست النوار جاب فيها غير ليتاي الصغار مكانش أكبر,algeria
المحتجون علي وجود فيلم صهيونى علي أرض مصرية فترة وتعدى .. مصهينين على صهاينة اشتروا أرض سينا ليبقوا ويستوطنوا وللأسف تم ذلك كما تقول الأخبار بأيد مصريين وشركات مصرية .. لا تتركوا السرطان ينتشر ويتوغل ثم تنسحبون وتختبئون ..,egypt
النظام المصري والأمن المصري بقو فرجة العالم,egypt
أنا خديت التخربيق قالو بلي الأسبوع الجاي غري يحطو سلعة جديدة إن شاء الله,morocco
حكمتني تغديت,algeria
@ مش معقولة الشبه اللي بيني وبين النجم (كرستان يورغان),egypt
أنا الجزائر جنة الله في أرضه و خير أجناه إنت يا مصري مين,egypt
انا بقول لاسرتي (الحزب الوطني) معلش النجاح دايما ليه حاقديين,egypt
صح رايحين تكونو كل يوم معايا,algeria
تشوف كيفاش تنفضت في الأرض,algeria
خاصك تبدلي الجو شويت خرجي,morocco
ماصط لاصط,tunisia
الصبح عالستة و نص,algeria
و حنا لبنات ف الدار,morocco
يعطك وهف يا فصاله والله منعرفها لكن عرفتها تو انها ملهط.تدافع عالمثليه ههههههه يعطك بقله علا دماغك هههههه مثليه جنسيه .,tunisia
تحطيها في المسيد و لا ماتحطيش,algeria
لعام كلو و هي معاكم خلوها في التقار,morocco
متعبه نفسك وكاتبه مقال عامي ماله معنى !,egypt
الزرافة بالزاي مش بالظاء يا زريف!!!ـ,egypt
تسناي مسحي هادي,morocco
ايه عرضتها إيه اسمعي إلا عيطتلك ولا سقسيها ويلا عندها رو بـات تكريهم قد أماني,algeria
امسط انسان على وجه البسيطة تجمعي تعيس ماعندوش اخلاق وزايد جايبينو,tunisia
أجي بعدة شنو سميتك,morocco
توحشتوها,algeria
انا بنسبة لي مروى هى تفلة او بالاحر مرا تونسية مزيانة و عندها خبرا برشا انا نشجعها و نقوللها واصل,tunisia
درت التحاليل و الراديو خديت رونديقو باش ندخل السبيطار و ندير العملية,morocco
جعفور طلع حساس وولد ناس  يحس بغيرو اكثر مالحكومة,tunisia
هديك لي كانت عطاتني كادو العام لي فات,morocco
نكمل نمسح برك,algeria
كي نتذكر زميلى عاطف الجبرى ميت قدامي و الحكوكى المسخ هذا  أحمد الرحموني  يحكي على حقوق ارهابى ما نقول كان داعش حلال فيك يا ولد شحيبر,tunisia
الله لا ترابحكم بجاه أشهر المفضل,tunisia
لو حدث ما حدث فى اى دولة.. واتحاد كرة محترم كان حدث الاتى1- ايقاف البلطجى ابراهيم ومنعه من دخول استادات كرة القدم مدى الحياة2- نزول نادى الخناقات وقلة الادب لدورى الدرجة التانية 3- ايقاف علاء على وحازم لمدة عام.، لكن فى بلدنا لها حسابات اخرى ومصالح متبادلة ونظام كله ماشى وشيالنى واشيلك واسندنى النهاردة اسندك بكره ومعلش وسماح والله غفور رحيم,egypt
زبلة من العال,tunisia
و ﺗقولي هدرت معايا  هي لي نساتني,algeria
( فوزي بن ڨمرة ) تربية + أخلاق + إنسانية هكة فنانين إمتاعنا إنحبوهم إكونو البرافو فوزي واصل,tunisia
الطبيب هادا يحب يطم لحوايج ترادسيونال,algeria
اكثر ما يقال علييييه مااااااسط,tunisia
"والله شيء يمرض مفماش حاجة خائبة موروهاش غدرة،خيانة،جنس،سرقة،كذب،رذيلة يعرضونها لا للنقد بل لغاية نشر الرذيلة وتعويد المشاهد على الفساد بانواعه ومن ورائهم اجندات غربية وصهيونية""",tunisia
نصنع ليك تلفازت,morocco
ملّة سهرية اليلة، شكيب و زيدو محرزية.. أووووووفف,tunisia
تيقي بيا غدي تقبل,morocco
قالت دخلت و محبسوش من الضحك على اللهجة ديلي,morocco
و فتش على اسرائيل من الهيلوكوبتر........................و عمل معاهدات لحماية ايران.........................,egypt
ربي يعيشك أم راحوا لها النيمورات والله يا حصلت أي للهنا تجري,algeria
يدعي العلم وهو جاهل,tunisia
شوفي هادا واش فهم فالكور,algeria
كيفاش عرفتي,morocco
هو عبارة علا مقابلة تقليدية,morocco
امبعد جات تصلي,algeria
أحسن ممثلة ربي معاك يا وجيهة,tunisia
